url_id,user_id,task_id,url
1,56,18,www.google.com
2,56,18,www.facebook.com
3,56,18,www.yahoo.com
4,56,17,
5,11,19,
6,5,19,
7,21,19,
8,6,19,
9,15,19,
10,18,19,
11,9,19,
12,14,19,
13,10,19,
14,16,19,
15,12,19,
16,17,19,
17,6,20,
18,18,20,
19,16,1,
20,15,20,
21,12,1,
22,5,20,
23,78,1,https://www.linkedin.com/in/balaka-biswas-898492185/
24,99,1,https://www.linkedin.com/in/abhiraj-gope-234378182/
25,87,1,https://www.linkedin.com/in/alekhyobanerjee/
26,86,1,https://www.linkedin.com/in/banti-pandey-8a6b7919b/
27,82,1,https://www.linkedin.com/in/diganta-das-620140169/
28,73,1,https://www.linkedin.com/in/dilshadhussain576/
29,105,1,https://www.linkedin.com/in/gazal-garg-073a2719b/
30,84,1,https://www.linkedin.com/in/madhuparna-majumdar-206490b6/
31,102,1,https://www.linkedin.com/in/mushrequa-nawaz-a3b1881a0/
32,98,1,https://www.linkedin.com/in/om-prakash-9b00a61a0/
33,104,1,https://www.linkedin.com/in/priscila-tamang-ghising-a703b1174/
34,80,1,https://www.linkedin.com/in/rahul-ghosh-432852175/
35,94,1,https://www.linkedin.com/in/rahul-shaw-2460a11a0/
36,95,1,https://www.linkedin.com/in/rahul-singh-3a2707189/
37,77,1,https://www.linkedin.com/in/rajtilak-pal-5a78b7192/
38,90,1,https://www.linkedin.com/in/ritayan-dhara-63786b19b/
39,76,1,https://www.linkedin.com/in/ritik-v-100516a5/
40,75,1,https://www.linkedin.com/in/ritwik-ghosh-01ba01152/
41,96,1,https://www.linkedin.com/in/srijani-chaudhury-726851192/
42,67,1,https://www.linkedin.com/in/tathagata-nath-0b916a191/
43,29,4,
44,32,4,
45,33,4,
46,35,4,
47,36,4,
48,38,4,
49,39,4,
50,40,4,
51,43,4,
52,44,4,
53,45,4,
54,47,4,
55,48,4,
56,50,4,
57,52,4,
58,53,4,
59,83,1,https://www.linkedin.com/in/sanaa-yousuf-41084a190/
60,68,1,https://www.linkedin.com/in/tuhin-mukherjee-38376219b/
61,79,1,https://www.linkedin.com/in/srinjoy-chowdhury-44a35713b/
62,69,1,https://www.linkedin.com/in/sumantra-pal-276444182/
63,103,1,https://www.linkedin.com/in/rajrupa-mitra-2035131a0/
64,89,1,https://www.linkedin.com/in/rima-kar-801b2119b/
65,70,1,https://www.linkedin.com/in/sagar-sarkar-446008185/
66,101,1,https://www.linkedin.com/in/sankha-subhra-mondal-540133168/
67,85,1,https://www.linkedin.com/in/sarthak-kundu-10433594/
68,88,1,https://www.linkedin.com/in/satyaki-saha-284b2219b/
69,81,1,https://www.linkedin.com/in/shubhobrata-das-52286119b/
70,71,1,https://www.linkedin.com/in/soumyajyoti-karmakar-732890159/
71,93,1,https://www.linkedin.com/in/writuparna-banerjee-b9193416b/
72,72,1,https://www.linkedin.com/in/suman-das-34386919b/
73,74,1,https://www.linkedin.com/in/wasif-ekbal-9407391a0/
74,12,21,
75,21,21,
76,11,21,
77,2,21,
78,14,21,
79,8,21,
80,17,21,
81,5,21,
82,15,21,
83,19,21,
84,6,21,
85,18,21,
86,8,19,
87,9,21,
88,10,21,
89,1,21,
90,20,21,
91,16,21,
92,13,21,
93,78,3,https://medium.com/@balaka2605/walking-the-fine-line-understanding-the-difference-between-the-various-data-based-job-roles-4b1c54f82d41
94,87,3,https://medium.com/@alex26062000/understanding-job-roles-22002174bcea
95,86,3,https://medium.com/@bantipandey95/job-roles-data-analyst-vs-data-engineer-vs-data-scientist-vs-ml-engineer-ef2f6d12f5a8
96,82,3,https://medium.com/@digantadas.d26/lookup-of-career-in-data-science-field-e80315ad60bf
97,73,3,https://medium.com/@dilshadhussain576/data-scientist-vs-data-engineer-vs-data-analyst-and-ml-engineer-what-really-differentiate-them-58c508e76d2c
98,105,3,https://medium.com/@gazalgarg2298/examining-the-enigma-behind-the-different-job-roles-in-the-field-of-data-science-99786ce8b23d
99,84,3,https://medium.com/@madhuparna299/starting-your-career-in-data-science-confused-about-the-best-job-suited-for-you-d79949342a66
100,102,3,https://medium.com/@mushrequanawaz/a-thorough-insight-into-the-data-based-job-roles-7f5019bfcc9a
101,104,3,https://medium.com/@iampris7/comparative-study-between-different-data-based-job-556c17613293
102,80,3,https://medium.com/@rahulghosh813/understanding-data-science-and-everything-you-have-to-know-about-data-based-job-roles-b9eb8f7807a4
103,94,3,https://medium.com/@imyuvi497/data-scientist-vs-data-engineer-vs-data-analyst-vs-ml-engineer-what-really-differentiates-them-2bb92f369341
104,95,3,https://medium.com/@08rahul.singh311/data-analyst-vs-data-engineer-vs-data-scientist-vs-ml-engineer-jobs-salary-skills-roles-d42c5c7a984c
105,103,3,https://medium.com/@rajbeadon/224bf4e1c8a3
106,77,3,https://medium.com/@rajtilakls2510/job-roles-in-data-science-5040e7348652
107,90,3,https://medium.com/@dhararitayan/diving-into-the-mysteries-behind-different-job-titles-for-machine-learning-and-data-science-6388d8564146
108,76,3,https://medium.com/@ritikverma_56660/fascinated-by-the-word-data-confused-with-numerous-career-field-related-to-data-8016cd24a6bc
109,75,3,https://medium.com/@ritwik.ghosh1010/job-roles-of-a-data-engineer-data-analyst-data-scientist-and-ml-engineer-demystified-18c93a1787a8
110,70,3,https://medium.com/@sagar1999sarkarcse/different-type-of-job-roles-in-data-science-5f3953621ab5
111,83,3,https://medium.com/@sagar1999sarkarcse/different-type-of-job-roles-in-data-science-5f3953621ab5
112,101,3,https://medium.com/@sankhasubhramondal18/data-related-jobs-roles-data-analyst-data-scientist-data-engineer-machine-learning-e26f55cdceb9
113,85,3,https://medium.com/@kundus101/have-you-decided-what-kind-of-data-scientist-you-want-to-be-e76829966446
114,88,3,https://medium.com/@satyakisaha726/data-engineer-vs-data-analyst-vs-data-scientist-vs-ml-engineer-8fe4a451a099
115,81,3,https://medium.com/@shubhobrata.das/data-analyst-vs-data-engineer-vs-data-scientist-vs-ml-engineer-whats-the-difference-26b4fa07862b
116,96,3,https://medium.com/@chaudhurysrijani/data-morphosis-the-life-cycle-of-data-from-the-hands-of-data-engineer-to-the-hands-of-data-83677b4b12f8
117,79,3,https://medium.com/@srinjoy35/detailed-analysis-comparison-of-data-analyst-data-engineer-data-scientist-and-machine-learning-f21475ec5b0c
118,67,3,https://medium.com/@imsumand/article-about-a-differentiation-of-various-job-roles-cb811c952daf
119,69,3,https://medium.com/@sumantrapal34/data-scientist-vs-data-engineer-vs-data-analyst-vs-ml-engineer-ce5e2a5163fe
120,68,3,https://medium.com/@tuhinmukherjee74/clarify-all-your-doubts-about-the-jobs-related-to-machine-learning-and-data-science-a0e76758b439
121,74,3,https://medium.com/@wasifekbal/difference-between-data-analyst-vs-data-engineer-vs-data-scientists-vs-machine-learning-engineer-cb0cd19901f0
122,93,3,https://medium.com/@writuparnabanerjee
123,72,3,
124,89,3,https://medium.com/@rimakar2017/differentiation-between-different-job-roles-like-data-engineer-vs-data-analyst-vs-data-54a82ce11b4f?source=friends_link&sk=6ffd886ebf69b604332ded4fd6fee0a7
125,9,22,
126,6,22,
127,19,22,
128,15,22,
129,5,22,
130,17,22,
131,14,22,
132,36,20,https://github.com/Kd2706/Database/blob/master/Recipe%20database.ipynb
133,52,20,https://github.com/samp-suman/Pandas/blob/master/Recipe_AWS.ipynb
134,33,23,
135,53,20,https://github.com/surjayan12345/panda
136,35,23,
137,50,20,https://github.com/shubham40/postgresql
138,47,20,https://github.com/shruti231099/database
139,40,20,https://github.com/rahulmondalhit/postgres
140,38,20,https://github.com/SMN007/Postgresql
141,36,23,
142,38,23,
143,39,23,
144,47,23,
145,48,23,
146,43,23,
147,11,22,
148,16,22,
149,40,23,
150,53,23,
151,1,22,
152,10,22,
153,21,22,
154,12,22,
155,9,24,
156,15,24,
157,5,24,
158,16,24,
159,87,4,https://sites.google.com/view/abanerjee/home
160,78,4,https://sites.google.com/view/balakabiswas
161,86,4,https://sites.google.com/view/bantipandey/contact?authuser=0
162,82,4,https://sites.google.com/view/digantadas-info/home?authuser=0
163,73,4,https://sites.google.com/view/dilshad-hussain/home?authuser=0
164,18,22,
165,13,22,
166,18,24,
167,1,24,
168,6,24,
169,13,24,
170,12,24,
171,9,20,
172,21,20,
173,66,17,
174,14,17,
175,17,24,
176,21,24,
177,14,24,
178,8,22,
179,2,22,
180,105,4,https://sites.google.com/view/gazalgarg/home?authuser=0
181,105,5,https://www.youtube.com/watch?v=W4l4emLlIy8
182,105,6,https://sites.google.com/view/gazalgarg/resume?authuser=0
183,84,4,https://sites.google.com/view/madhuparna/home?authuser=0
184,84,5,https://www.youtube.com/watch?v=ME5IcVqz2Cs
185,84,6,https://sites.google.com/view/madhuparna/resume?authuser=0
186,102,4,https://sites.google.com/view/mushrequa/home?authuser=0
187,102,6,https://sites.google.com/view/mushrequa/resume?authuser=0
188,104,4,https://priscila12.github.io/
189,104,5,https://www.youtube.com/watch?v=BW_kkeND1hY
190,104,6,https://priscila12.github.io/
191,80,4,https://sites.google.com/view/rahul813/home?authuser=1
192,102,5,https://www.youtube.com/watch?v=mLXqLgDOMeM
193,94,4,https://sites.google.com/view/rahul-shaw-07/home?authuser=0
194,94,5,https://www.youtube.com/watch?v=73jCS3zCPeQ
195,94,6,
196,95,4,https://sites.google.com/view/rahul-singh-08/home?authuser=0
197,95,5,https://www.youtube.com/watch?v=M7p-vifm2dg
198,103,4,https://sites.google.com/view/portfolio-rajrupa/home?authuser=0
199,103,5,https://www.youtube.com/watch?v=wwT22mL8BVE&feature=emb_title
200,77,4,https://sites.google.com/view/rajtilak-pal-portfolio-website/home?authuser=0
201,77,5,https://sites.google.com/view/rajtilak-pal-portfolio-website/my-resume?authuser=0
202,89,4,https://sites.google.com/view/portfolioofrima/home?authuser=0
203,89,5,https://sites.google.com/view/portfolioofrima/resume?authuser=0
204,89,6,https://sites.google.com/view/portfolioofrima/resume?authuser=1
205,90,4,https://sites.google.com/view/ritayandharaportfolio/home?authuser=0
206,95,6,https://sites.google.com/view/rahul-singh-08/resume
207,90,5,https://sites.google.com/view/ritayandharaportfolio/resum%C3%A9?authuser=0
208,90,6,https://sites.google.com/view/ritayandharaportfolio/resum%C3%A9?authuser=0
209,76,4,https://ritik1908.github.io/
210,76,6,https://ritik1908.github.io/
211,76,5,https://www.youtube.com/watch?v=bifmSFEHFJo
212,75,4,https://ritwik-ghosh153.github.io/index.html
213,75,5,https://www.youtube.com/watch?v=vesv2lXOe-U
214,75,6,
215,70,4,https://sites.google.com/view/sagarsarkar/blog?authuser=0
216,83,4,https://sites.google.com/view/sanaayousuf/contact?authuser=0
217,101,4,https://sankhasubhramondal.com/connect.html
218,85,4,https://sites.google.com/view/sarthak-info/contact?authuser=0
219,88,4,https://sites.google.com/view/satyakisportfolio/home
220,81,4,https://sites.google.com/view/shubhobrata-portfolio/blog?authuser=0
221,71,4,https://sites.google.com/view/soumyajyoti-portfolio/contact-info?authuser=0
222,96,4,https://sites.google.com/view/srijanichaudhury/blog?authuser=0
223,79,4,https://sites.google.com/view/srinjoy35/contact-details?authuser=0
224,72,4,https://sites.google.com/view/imsumand/contact-info?authuser=0
225,69,4,https://sites.google.com/view/sumantrasportfolio/blogs?authuser=0
226,67,4,https://sites.google.com/view/tathagatanath/blogs?authuser=0
227,68,4,https://sites.google.com/view/tuhins-portfolio/blogs?authuser=2
228,74,4,https://sites.google.com/view/wasif-portfolio/projects?authuser=0
229,93,4,https://sites.google.com/view/writuparnabanerjee/contact?authuser=0
230,87,5,
231,78,5,https://www.youtube.com/watch?v=_HEEXUiyCQE&feature=emb_title
232,86,5,https://www.youtube.com/watch?v=AAWtNVx5fIw&feature=youtu.be
233,82,5,https://www.youtube.com/watch?v=mfbP_8YmohI&feature=emb_title
234,83,5,https://www.youtube.com/watch?v=CdyCkHUNras&feature=emb_title
235,101,5,https://www.youtube.com/watch?v=Teh2fmeXM98&feature=emb_title
236,85,5,https://www.youtube.com/watch?v=sD7VQlthQoU&feature=emb_title
237,88,5,https://www.youtube.com/watch?v=9aU70mq5YK0&feature=emb_title
238,81,5,https://www.youtube.com/watch?v=gtJSB3w8cdE&feature=emb_title
239,96,5,https://www.youtube.com/watch?v=UYzhNOBdCp4&feature=emb_title
240,72,5,https://www.youtube.com/watch?v=UYzhNOBdCp4&feature=emb_title
241,69,5,https://www.youtube.com/watch?v=fYYMdqHidfo&feature=emb_title
242,67,5,https://www.youtube.com/watch?v=9TwVmcOgsPg&feature=youtu.be
243,68,5,https://www.youtube.com/watch?v=Y4c3G6JLotc&feature=emb_title
244,93,5,https://www.youtube.com/watch?v=vRQmX-_wPZA&feature=emb_title
245,87,6,https://sites.google.com/view/abanerjee/my-resume?authuser=0
246,78,6,https://sites.google.com/view/balakabiswas/resume
247,86,6,
248,82,6,https://sites.google.com/view/digantadas-info/resume?authuser=0
249,70,6,
250,83,6,https://sites.google.com/view/sanaayousuf/my-resume
251,101,6,https://sankhasubhramondal.com/resume.html
252,85,6,https://sites.google.com/view/sarthak-info/resume?authuser=0
253,88,6,https://sites.google.com/view/satyakisportfolio/resume?authuser=0
254,81,6,https://sites.google.com/view/shubhobrata-portfolio/my-resume?authuser=0
255,71,6,
256,96,6,https://sites.google.com/view/srijanichaudhury/resume
257,72,6,https://sites.google.com/view/imsumand/my-resume
